source,target,value
General Fund,Personnel & Benefits,17852116
General Fund,Operations,8816206
General Fund,Capital,767000
General Fund,Transfers,294250
Community development,Personnel & Benefits,718262
Community development,Operations,528047
Community development,Capital,7500
Health-medical insurance,Transfers,2346544
Community transportation,Capital,239548
Gas tax,Operations,229500
Gas tax,Capital,892000
Street maintenance,Personnel & Benefits,1324551
Street maintenance,Operations,1385862
Street maintenance,Capital,1535637
Street maintenance,Debt Service,184822
Street maintenance,Transfers,626500
Tree maintenance,Personnel & Benefits,325238
Tree maintenance,Operations,147813
Street impact fee,Capital,8825640
Building inspection,Personnel & Benefits,1440370
Building inspection,Operations,490126
Building inspection,Capital,172348
TIFD downtown improvement,Operations,1165948
TIFD downtown improvement,Other financing uses,432088
Economic development loan,Operations,31000
Community housing fund,Operations,54400
Drug forfeiture fund,Personnel & Benefits,191239
Drug forfeiture fund,Operations,9300
Law and justice center,Operations,19125
Police domestic violence,Personnel & Benefits,25633
Police domestic violence,Operations,193000
Street arterial construction,Capital,1000996
TIF North 7th corridor,Operations,692013
TIF North 7th corridor,Transfers,36000
TIF NE urban renewal district,Operations,99558
TIF NE urban renewal district,Transfers,5000
Lighting districts,Operations,398005
Lighting districts,Transfers,31900
Victim-witness advocate,Operations,140000
Senior transportation,Operations,80331
BID downtown improvement district,Operations,120000
Fire department equipment,Capital,40000
Story Mansion special revenue,Operations,26355
Bozeman tourism BID,Operations,932250
SID revolving fund,Transfers,626500
GO Refunding series 2012,Debt Service,274675
Parks & open space bond,Debt Service,1079216
2007 Downtown TIF bonds,Debt Service,422088
SID funds,Debt Service,379800
SID funds,Transfers,10700
Construction funds,Capital,6251000
Water fund,Personnel & Benefits,2763683
Water fund,Operations,3303492
Water fund,Capital,2618406
Water fund,Debt Service,1313010
Sourdough tank construction fund,Capital,6600000
Water impact fee,Capital,132000
Water impact fee,Transfers,1732750
Waste water fund,Personnel & Benefits,2048154
Waste water fund,Operations,3218778
Waste water fund,Capital,2059328
Waste water fund,Debt Service,1704247
Waste water impact fee,Capital,1186200
Waste water impact fee,Transfers,653212
Solid waste fund,Personnel & Benefits,1030805
Solid waste fund,Operations,1664922
Solid waste fund,Capital,1088043
Landfill closure costs,Operations,180000
Landfill closure costs,Capital,100000
Parking fund,Personnel & Benefits,282946
Parking fund,Operations,354081
Parking fund,Capital,247454
Storm water fund,Personnel & Benefits,364708
Storm water fund,Operations,174597
Storm water fund,Capital,231650
Storm water fund,Debt Service,225351
Vehicle maintenance,Personnel & Benefits,380994
Vehicle maintenance,Operations,765965
Vehicle maintenance,Capital,30500
Health-medical insurance,Operations,4476785
